Processor Signature,Processor Revision,Family
0x00000f48,0x00000048,K8 (SH-C0)
0x00000f4a,0x0000004a,K8 (SH-CG)
0x00000f58,0x00000048,K8 (SH-C0)
0x00000f5a,0x0000004a,K8 (SH-CG)
0x00000f7a,0x0000004a,K8 (SH-CG)
0x00000f82,0x0000004a,K8 (CH-CG)
0x00000fc0,0x0000004a,K8 (DH-CG)
0x00000ff0,0x0000004a,K8 (DH-CG)
0x00010f50,0x00000150,0fh (SH-D0)
0x00010f70,0x00000150,0fh (SH-D0)
0x00010f80,0x00000150,0fh (CH-D0)
0x00010fc0,0x00000150,0fh (DH-D0)
0x00010ff0,0x00000150,0fh (DH-D0)
0x00020f10,0x00000210,0fh (JH-E1)
0x00020f12,0x00000210,0fh (JH-E6)
0x00020f32,0x00000210,0fh (JH-E6)
0x00020fb1,0x00000210,0fh (BH-E4)
0x00100f00,0x00001000,
0x00100f01,0x00001000,
0x00100f02,0x00001000,
0x00100f20,0x00001020,
0x00100f21,0x00001020,10h (DR-B1)
0x00100f22,0x00001022,10h (DR-B2)
0x00100f23,0x00001022,10h (DR-B3)
0x00100f2a,0x00001020,10h (DR-BA)
0x00100f42,0x00001041,10h (RB-C2)
0x00100f43,0x00001043,10h (RB-C3)
0x00100f52,0x00001041,10h (BL-C2)
0x00100f53,0x00001043,10h (BL-C3)
0x00100f62,0x00001062,10h (DA-C2)
0x00100f63,0x00001043,10h (DA-C3)
0x00100f80,0x00001080,10h (HY-D0)
0x00100f81,0x00001081,10h (HY-D1)
0x00100f91,0x00001081,10h (HY-D1)
0x00100fa0,0x000010a0,10h (PH-E0)
0x00200f31,0x00002031,11h (LG-B1)
,0x00003000,12h (LN-A0)
,0x00003001,12h (LN-A1)
0x00300f10,0x00003010,12h (LN-B0)
0x00500f10,0x00005010,14h (ON-B0)
0x00500f20,0x00005020,14h (ON-C0)
0x00600f12,0x00006012,15h (OR-B2)
0x00600f20,0x00006020,15h (OR-C0)
0x00610f01,0x00006101,15h (TN-A1)